turno,operador_id,maquina_id,producto_id,cantidad_producida,unidades_defectuosas,eficiencia_porcentual
3,16,8,14,108,3,87.02170411073116
1,18,8,12,86,2,81.20075843509247
3,5,7,14,103,0,79.1044768251071
3,4,6,15,104,2,84.17653652415066
1,13,6,7,119,1,93.53508436229772
1,19,10,1,82,2,92.90688713341444
3,2,6,9,93,3,84.19934178492993
2,13,8,4,80,1,78.42936725415888
3,11,1,6,101,0,90.09414609319876
3,4,5,6,100,5,95.16022547860896
3,20,3,11,122,1,93.809763054663
3,20,8,3,107,3,85.06711583436618
1,15,6,4,96,2,87.74144946082788
3,4,2,13,101,0,84.97
2,9,7,11,94,0,86.19094300104044
1,7,7,10,119,1,81.9523131230146
2,19,5,3,95,3,80.14939232696186
2,19,8,13,97,1,89.75152150280346
2,6,5,6,91,0,86.21803677179324
2,6,1,1,94,3,87.61761502986926
1,20,9,8,115,1,83.07421017781493
1,15,4,8,115,0,82.0425817263561
2,15,2,9,90,5,76.48511307254769
2,20,4,6,97,2,75.8452926123996
1,9,9,1,109,1,90.02199958013311
1,4,2,3,101,1,94.22941634430065
1,18,4,15,115,1,85.42158993097605
3,18,2,1,89,1,85.4241371359596
3,5,5,15,108,4,81.54619320122629
3,20,3,13,101,1,79.65756939437021
2,11,10,15,93,1,81.94223022919267
3,5,2,5,109,5,92.63777038678904
2,4,9,3,101,4,95.81010057248514
2,12,5,14,97,1,79.13556134206506
3,2,10,2,112,1,88.88312918408656
2,13,5,3,109,1,91.7298395017413
3,10,1,9,106,0,82.90165925894414
3,9,6,11,118,1,86.15790681504751
1,10,7,8,101,2,81.02362881155118
3,7,1,13,100,2,90.77906628680414
1,4,9,3,88,3,88.4398677285935
3,19,8,11,122,2,78.14595535835662
3,10,8,2,97,3,83.78806355868224
1,3,7,5,106,2,83.12938942669206
1,19,5,12,103,4,92.37544958391749
3,2,3,12,97,1,84.97
2,20,9,13,125,2,83.9571482812443
1,10,7,12,91,6,90.23154860133737
2,2,10,1,93,1,76.74563150256216
2,2,10,4,76,4,77.58086693855638
2,17,8,8,93,1,92.98650380083154
1,16,6,1,91,2,83.05580059909256
2,16,5,5,107,2,81.64770651071842
1,14,8,12,98,3,83.4812919449222
2,7,3,4,90,3,95.14448212911796
3,11,7,6,106,5,90.4548414027878
3,1,2,7,99,1,77.56888039919545
1,11,3,9,92,0,85.87540925839139
